DATE,DV_LUMINOUS_IMPRESSIONS,FB_LUMINOUS_IMPRESSIONS,GL_LUMINOUS_IMPRESSIONS,DV_MW_TOTAL_12_IMPRESSIONS,DV_NATURALS_IMPRESSIONS,FB_NATURALS_IMPRESSIONS,GL_NATURALS_IMPRESSIONS,DV_PLAX_IMPRESSIONS,FB_PLAX_IMPRESSIONS,GL_PLAX_IMPRESSIONS,FB_TOTAL_IMPRESSIONS,GL_TOTAL_IMPRESSIONS,DV_LUMINOUS_CLICKS,FB_LUMINOUS_CLICKS,GL_LUMINOUS_CLICKS,DV_MW_TOTAL_12_CLICKS,DV_NATURALS_CLICKS,FB_NATURALS_CLICKS,GL_NATURALS_CLICKS,DV_PLAX_CLICKS,FB_PLAX_CLICKS,GL_PLAX_CLICKS,FB_TOTAL_CLICKS,GL_TOTAL_CLICKS,DV_LUMINOUS_SPEND,FB_LUMINOUS_SPEND,GL_LUMINOUS_SPEND,TV_LUMINOUS_SPEND,DV_MW_TOTAL_12_SPEND,TV_MW_TOTAL_12_SPEND,DV_NATURALS_SPEND,FB_NATURALS_SPEND,GL_NATURALS_SPEND,DV_PLAX_SPEND,FB_PLAX_SPEND,GL_PLAX_SPEND,TV_PLAX_SPEND,FB_TOTAL_SPEND,GL_TOTAL_SPEND,TV_LUMINOUS_TRP,TV_MW_TOTAL_12_TRP,TV_PLAX_TRP,TP_LUMINOUS_SALES_VALUE,TP_NATURAL_EXTRACTS_SALES_VALUE,TP_TOTAL_SALES_VALUE,TP_COLGATE_NOAD_SALES_VALUE,TP_COMPETITORS_SALES_VALUE,TP_LUMINOUS_SALES_UNITS,TP_NATURAL_EXTRACTS_SALES_UNITS,TP_TOTAL_SALES_UNITS,TP_COLGATE_NOAD_SALES_UNITS,TP_COMPETITORS_SALES_UNITS,TP_LUMINOUS_SALES_VOLUME,TP_NATURAL_EXTRACTS_SALES_VOLUME,TP_TOTAL_SALES_VOLUME,TP_COLGATE_NOAD_SALES_VOLUME,TP_COMPETITORS_SALES_VOLUME,TP_LUMINOUS_AVG_PRICE,TP_NATURAL_EXTRACTS_AVG_PRICE,TP_TOTAL_AVG_PRICE,TP_COLGATE_NOAD_AVG_PRICE,TP_COMPETITORS_AVG_PRICE,MW_LUMINOUS_WHITE_SALES_VALUE,MW_PLAX_SALES_VALUE,MW_TOTAL_12_SALES_VALUE,MW_COMPETITORS_SALES_VALUE,MW_LUMINOUS_WHITE_SALES_UNITS,MW_PLAX_SALES_UNITS,MW_TOTAL_12_SALES_UNITS,MW_COMPETITORS_SALES_UNITS,MW_LUMINOUS_WHITE_SALES_VOLUME,MW_PLAX_SALES_VOLUME,MW_TOTAL_12_SALES_VOLUME,MW_COMPETITORS_SALES_VOLUME,MW_LUMINOUS_WHITE_AVG_PRICE,MW_PLAX_AVG_PRICE,MW_TOTAL_12_AVG_PRICE,MW_COMPETITORS_AVG_PRICE
2018-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7924467.921727337,0.0,14222079.960467294,49912954.99946398,20190887.89805025,249903.00005569588,0.0,400911.99759114534,1824903.0094562331,764324.9978875974,31149.00012582075,0.0,65691.99924869463,405939.9993267143,123060.99891231861,254.40521011004793,0.0,456.5822306661458,122.95648391941869,164.07219246153142,972854.9957275391,3807671.9941347837,0.0,12223935.058549047,40812.0002746582,101364.00087818038,0.0,225222.00243384577,8229.999899864197,37775.00048803631,0.0,81713.00019219052,118.20838488024674,100.79872786079005,0.0,149.5959642871773
2018-04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8110651.905995328,0.0,13944788.913272321,52929346.545257375,19272383.85974057,257047.0035384642,0.0,398322.9965525679,2022388.0245540058,726112.0020237286,31916.000363300554,0.0,63761.999930720776,448660.9995457111,115260.99925884046,254.1249471635416,0.0,436.92156769452544,117.97180187012167,167.20646171443278,994023.0102539062,4151069.0080244094,0.0,12249944.01300326,40423.00081253052,119499.000786338,0.0,226061.99862703215,8463.99998664856,40665.00006406568,0.0,80494.00041613262,117.44128211506575,102.07965084186911,0.0,152.18455971469055
2018-04-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7434050.912897103,0.0,12362433.95687826,50103350.22259096,17238200.053499896,234379.00273583364,0.0,340441.9976113131,1967914.9829657981,622958.9989191154,29000.000209431164,0.0,55712.00068423059,433830.99620463327,95206.9991005119,256.34658135207377,0.0,426.2908230206785,115.49048053486193,181.06021843311322,875268.0130004883,3732363.9473728836,0.0,11061832.983262837,35704.999923706055,109343.00101001281,0.0,206346.00127558224,7364.999890327454,36248.000313178636,0.0,74120.00076891854,118.84155139635354,102.96744413831604,0.0,149.24221355245186
2018-04-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7499652.044270188,0.0,12948744.223151356,52806165.65643332,17328048.05447068,232710.0031467853,0.0,340927.9937063111,2163913.976849988,622038.0007443018,29256.000175140798,0.0,57655.99903778639,481758.9926861692,96058.00104595255,256.3457752041832,0.0,442.60131752918403,109.6111675300531,180.39151206343792,863444.0078735352,3852087.987812236,0.0,11238460.033863783,34095.99995613098,114138.00277025439,0.0,201550.00014032703,7263.9999985694885,38613.999754656106,0.0,73025.99999005906,118.86619053463306,99.75884426082403,0.0,153.89669481271957
2018-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9644510.99614799,0.0,15514964.114548638,62745502.27139704,20816085.99590126,413455.99716505967,0.0,399270.9949789569,2518011.0356431687,732969.9984152103,44443.00061184913,0.0,68648.00044277217,568326.9939599559,116531.99924877845,217.00854720364285,0.0,349.09803345753687,110.40387477322265,178.62978521000073,941670.0210571289,4289607.023555785,0.0,13479309.085078537,41578.00006866455,115860.00101745594,0.0,236184.0016344795,7456.0001492500305,40333.999578957446,0.0,86537.00065123849,126.29694235613015,106.35213636967721,0.0,155.7635344839702
2018-05-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8209140.006089583,0.0,14071541.783947498,51000819.03789565,17966700.104849413,335688.99880326353,0.0,396009.99497051816,2124795.9892608924,645373.9984091371,38101.00028011948,0.0,68876.00045604631,479726.00313136354,105749.000137439,215.4573356535468,0.0,369.32210914393795,106.31239229266895,169.89947972556334,769735.0082397461,3444760.033178609,0.0,11823703.963890672,34862.000703811646,100648.00120703876,0.0,211346.99998004362,5953.999936580658,32864.0001907479,0.0,77266.0003908677,129.28031851505187,104.81864694451899,0.0,153.0259610187892
2018-05-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8770148.052991368,0.0,16426917.84947738,57623885.872842744,21094545.91025226,276201.9993196009,0.0,466122.0051321434,2285726.9810145954,768960.9977321234,35939.99976012856,0.0,83704.00058245286,517574.999177712,125550.00150029082,244.02192853437006,0.0,457.0650517282758,111.33436886324041,168.01709006911796,899794.9981689453,3839497.034434229,0.0,14138422.016254626,38190.00005722046,104048.99966961239,0.0,252906.00166737568,7077.999949455261,35434.00000187103,0.0,92876.00060959812,127.12560110122571,108.35629717874052,0.0,152.22901420664223
2018-05-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7449210.085282102,0.0,14702831.966482103,45462017.98541832,18174312.06929963,225374.0040604025,0.0,444961.00034192204,1742767.001101165,633919.9989698827,30292.00035217218,0.0,72016.00026874803,393893.9987679478,97907.00019185897,245.91344244943315,0.0,485.37012397822025,115.41688405413119,185.62832109742075,684942.0204162598,3055075.0022381544,0.0,12202147.988855839,26785.999536514282,82689.99907118268,0.0,225001.0002637282,5125.999957323074,29102.999982074834,0.0,85245.0003772974,133.62115218860706,104.97457320962928,0.0,143.14209554635107
2018-05-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9289694.028071593,0.0,18174545.21093145,61101547.57501371,22566796.953513287,261126.99692649767,0.0,496885.0020893151,2323316.981234122,812156.9984969683,36825.99982700776,0.0,89891.99890661985,527410.9957517358,130186.99911679141,252.25911235840064,0.0,493.52482746720835,115.85186518139183,173.3414020340733,858931.0035705566,3963929.0104173124,0.0,15200231.84780404,32941.00034236908,106823.99994065054,0.0,291322.0008937642,7280.99998831749,39538.99983293377,0.0,113350.99942225497,117.96882364355564,100.25364898369487,0.0,134.0987898234594
2018-06-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12021895.95817402,0.0,22290492.050329223,66499345.189411074,28718581.898796372,369955.0032307161,0.0,632921.9960957998,2788981.0035796836,1104220.002902206,56161.99903457891,0.0,118985.99816579372,591982.0062457584,177930.00088527333,214.05747952048762,0.0,396.8963433193498,112.3333893392094,161.40382035581337,1420409.0042114258,5391510.939151049,0.0,20619368.931785226,52366.00112915039,168152.00215554796,0.0,440196.9990966609,16492.00016260147,63379.99994249549,0.0,179440.00066246372,86.1271519650148,85.06643963462848,0.0,114.90954556209218
