"","rn","cluster","n","boot_mean","boot_se","boot_ci","ci_low","ci_up","sd","dist100"
"1","tv_A",1,11,0.846622694016329,0.203970242526797,"[0, 2.34]",0,2.33911221077492,0.645010541281616,0.0366579120539208
"2","tv_A",2,15,0.710119429825715,0.116058909327666,"[0, 1.67]",0,1.67419200610377,0.43425267538679,0.0256838116856298
"3","tv_A",3,4,1.16278782354894,0.407788797850496,"[0, 3.77]",0,3.77291918936417,0.706310916634494,0.0523792022488197
"4","tv_A",4,13,0.640195053498724,0.128861388967092,"[0, 1.65]",0,1.65040411808017,0.446388945649796,0.0256887071654521
"5","tv_A",5,7,0.470002098182411,0.0973826431603023,"[0, 1.11]",0,1.10565552643795,0.238537785546275,0.0159871828033384
"6","tv_A",6,5,0.945387108731295,0.111424981742281,"[0.25, 1.64]",0.253821667104385,1.63734555040341,0.222849963484562,0.0184770081845267
"7","web_A",1,11,0.426759456137322,0.0562608464065902,"[0.01, 0.84]",0.0092013123171043,0.840725432245035,0.177912417733725,0.0119934237918725
"8","web_A",2,15,0.712128183033752,0.115351374341466,"[0, 1.67]",0,1.67065281459679,0.431605321879272,0.0255945803874276
"9","web_A",3,4,1.21166170398841,0.41559561619172,"[0, 3.87]",0,3.87397577145599,0.719832722646955,0.0536731436035344
"10","web_A",4,13,0.284915539365036,0.0340472550442729,"[0.02, 0.55]",0.0190499951302657,0.553988303140476,0.117943151189873,0.00778610717565612
"11","web_A",5,7,0.476901735673482,0.101267559208864,"[0, 1.14]",0,1.13794439251529,0.248053847558801,0.0165055766427565
"12","web_A",6,5,0.943163576413455,0.112537568461534,"[0.24, 1.64]",0.24468715327,1.64202562531078,0.225075136923067,0.0186615024837062
