"","solID","mape","decomp.rssd","nrmse","nrmse_train","tv_A_thetas","web_A_thetas","tv_A_alphas","web_A_alphas","tv_A_gammas","web_A_gammas","cluster","n","top_sol"
"1","1_169_6",0,0.0010121037394514,0.0947848635936584,0.0947848635936584,0.559085747158886,0.11511401450232,0.308217979130276,0.791337728769423,0.496626907080047,0.502584320931849,2,15,FALSE
"2","1_204_1",0,0.0709262028126636,0.0897651834847837,0.0897651834847837,0.618058226889255,1,0.252272906852338,0.956698908283013,0.180958141510995,0.855700673494819,2,15,FALSE
"3","1_213_4",0,0.0137671419120554,0.0909431418095953,0.0909431418095953,0.446510422546597,0.786827308182121,0.316583907568088,0.693129114350623,0.115286668548382,0.846049351698702,2,15,FALSE
"4","2_52_2",0,0.00080610350535953,0.0918347804083385,0.0918347804083385,0.920189270105501,0.689657229952382,0.394752395653232,0.668719548689228,0.773049021315651,0.742027026445084,6,5,TRUE
"5","2_70_3",0,0.000643511177293038,0.0993033289864537,0.0993033289864537,0.660948397742552,0.988059335697589,0.349781480768169,0.807020364140098,0.644959925947656,0.421991816291975,6,5,FALSE
"6","2_97_5",0,0.00173350904628978,0.0919079934096663,0.0919079934096663,0.986288231953645,0.812889132965687,0.42678396909088,0.603441737497859,0.929719699537148,0.7744302569874,6,5,FALSE
"7","2_146_3",0,0.00263738831635308,0.090836135887448,0.090836135887448,0.945271073776625,0.407338320879109,0.433101760892936,0.74454079356956,0.62376354475025,0.792132349117951,5,7,FALSE
"8","2_150_6",0,0.00178668912723195,0.0904631270101239,0.0904631270101239,0.915537319214758,0.118002601984045,0.408910704151587,0.792973091802865,0.60358033905276,0.707087943191846,5,7,TRUE
"9","2_164_1",0,0.00226517316558451,0.091880423124587,0.091880423124587,0.912265542234853,0.61241927989054,0.39633014133556,0.751836897165755,0.697399953599478,0.907791734967925,5,7,FALSE
"10","2_164_2",0,0.0195290915518433,0.0903885746465081,0.0903885746465081,0.960065198136236,0.196663912873463,0.440014704609891,0.547082354362949,0.617798596869446,0.964825824446091,5,7,FALSE
"11","2_165_6",0,0.0104397016827515,0.0902264674874514,0.0902264674874514,0.819304280720762,0.715988608452569,0.395595297448135,0.829494833641564,0.345599637843546,0.656676078373236,2,15,TRUE
"12","2_178_7",0,0.636396103067893,0.0896943656771459,0.0896943656771459,0.520580666779193,0.949924544210212,0.420442256280917,0.987491473310177,0.777707737376849,0.74517286508743,1,11,FALSE
"13","2_180_7",0,0.0446211112843549,0.089922520204736,0.089922520204736,1,0.505173590221157,0.397592202687929,0.751836897165755,0.535459058968357,0.907791734967925,5,7,FALSE
"14","2_187_9",0,0.0295645218167522,0.0902476461679777,0.0902476461679777,0.986300257043882,0.621813039722587,0.447812835080964,0.83092079313754,0.573368086705246,0.67189532033874,5,7,FALSE
"15","2_188_7",0,0.636396103067893,0.0896949083910725,0.0896949083910725,0.376024091408452,0.949924544210212,0.420442256280917,0.958571656213193,0.625820200391044,0.74517286508743,1,11,FALSE
"16","2_195_4",0,0.636396103067893,0.0896943656771459,0.0896943656771459,0.249339384973234,0.949924544210212,0.382193678790017,0.987491473310177,0.865308430895821,0.74517286508743,1,11,FALSE
"17","2_201_8",0,0.0169814092078175,0.090424988491425,0.090424988491425,0.948842331693962,0.698208827896107,0.41022671356838,0.995742619441042,0.509759439884784,0.919638700296214,5,7,FALSE
"18","2_202_6",0,0.000442633068000924,0.100968145632762,0.100968145632762,0.565204373793373,0.613966470255004,0.371635341084779,0.485324009819129,0.47755802178865,0.527137628309853,2,15,FALSE
"19","2_211_9",0,1.96048498810471e-05,0.0937580551994018,0.0937580551994018,0.819390071122798,0.486569008577143,0.389873052408609,0.882909669686606,0.847110716087777,0.561195781479108,6,5,FALSE
"20","2_218_6",0,0.00260772186996039,0.0937581594294027,0.0937581594294027,0.828278383158472,0.486569008577143,0.389873052408609,1,0.887231576470084,0.561195781479108,6,5,FALSE
"21","3_63_8",0,6.5321933242616e-05,0.13742300579051,0.13742300579051,0.575915399224099,0.588862499055194,0.62108209141486,0.751425668301866,0.547872581432897,0.635300339290992,2,15,FALSE
"22","3_154_7",0,0.170820563255531,0.0897766064442753,0.0897766064442753,0.365663645684095,0.721162574703653,0.0344569101150199,0.98595900858135,0.902733406014867,0.833017832990548,1,11,FALSE
"23","3_168_1",0,0.423966410695313,0.0897735622407889,0.0897735622407889,0.623847345465167,0.721162574703653,0.0344569101150199,0.98595900858135,1,0.833017832990548,1,11,FALSE
"24","3_171_2",0,0.0116738613633288,0.0910645837580181,0.0910645837580181,0.0167083368464702,0.868797323296487,0.0204527268811662,0.901042705406776,0.820189765584355,0.733480944049643,1,11,FALSE
"25","3_178_1",0,0.351649814637192,0.0897752461737209,0.0897752461737209,0.516971727507989,0.721162574703653,0.0344569101150199,0.98595900858135,0.902733406014867,0.833017832990548,1,11,FALSE
"26","3_184_7",0,0.286724972736085,0.0897760987908572,0.0897760987908572,0.451164139970863,0.721162574703653,0.0344569101150199,0.98595900858135,0.902733406014867,0.833017832990548,1,11,FALSE
"27","3_190_8",0,0.603320922603452,0.0897626321570733,0.0897626321570733,0.391371086794481,0.36070581832139,0.902954210074004,0.622487304313243,0.0408051915894357,1,4,13,FALSE
"28","3_191_4",0,0.492751247656208,0.0897715612096213,0.0897715612096213,0.451164139970863,0.721162574703653,0,0.98595900858135,0.902733406014867,0.833017832990548,1,11,FALSE
