"","tv_A_alphas","tv_A_gammas","tv_A_thetas","web_A_alphas","web_A_gammas","web_A_thetas","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","pos","Elapsed","ElapsedAccum","solID","trial","iterNG","iterPar","iterations","coef0","mape.qt10","robynPareto","error_score","cluster","top_sol"
"1",1.67847443502,0.53073517546,0.317325749,3.96937792899,0.59900549023,0.0909760559,1,0.72319224150458,NA,NA,0.0947848635936584,NA,NA,0.0947848635936584,0.0010121037394514,0,57444.6494709203,0.002658690126,20825168.3276808,1e-04,0,0.077937126159668,25.1615269184113,"1_169_6",1,169,6,1518,FALSE,TRUE,2,0.0189732545852282,2,FALSE
"2",1.43429968567,0.26632088497,0.33972752175,4.7704085547,0.87129288928,0.45798037155,1,0.751734641074723,NA,NA,0.0897651834847837,NA,NA,0.0897651834847837,0.0709262028126636,0,5862.53836126727,0.0001815303247,20825168.3276808,1e-04,0,0.0818290710449219,30.5445621013641,"1_204_1",1,204,1,1828,FALSE,TRUE,1,0.0159268016529534,2,FALSE
"3",1.71498790075,0.21131235127,0.2745619573,3.49364288592,0.863850772,0.3695675148,1,0.745176083028778,NA,NA,0.0909431418095953,NA,NA,0.0909431418095953,0.0137671419120554,0,24867.1362650206,0.001094199949,20825168.3276808,1e-04,0,0.0889260768890381,32.1424300670624,"1_213_4",1,213,4,1912,FALSE,TRUE,3,0.00568581053832508,2,FALSE
"4",2.05615773409,0.76227521104,0.4544975128,3.37539983932,0.78363933976,0.3292664606,1,0.740154821100285,NA,NA,0.0918347804083385,NA,NA,0.0918347804083385,0.00080610350535953,0,33759.3616534265,0.001521236819,20825168.3276808,1e-04,0,0.0712230205535889,7.55697107315063,"2_52_2",2,52,2,461,FALSE,TRUE,1,0.00807024442755022,6,TRUE
"5",1.85988018143,0.65498367331,0.35602013595,4.04534661318,0.5368607515,0.45302801,1,0.696171929731806,NA,NA,0.0993033289864537,NA,NA,0.0993033289864537,0.000643511177293038,0,87899.0019291987,0.004121218434,20825168.3276808,1e-04,0,0.0778548717498779,10.390105009079,"2_70_3",2,70,3,624,FALSE,TRUE,3,0.0356726963460428,6,FALSE
"6",2.19596095709,0.89350759999,0.47960640985,3.05918580349,0.8086254139,0.3803765934,1,0.739740345700715,NA,NA,0.0919079934096663,NA,NA,0.0919079934096663,0.00173350904628978,0,34343.6658954517,0.001549297225,20825168.3276808,1e-04,0,0.0828390121459961,14.4168720245361,"2_97_5",2,97,5,869,FALSE,TRUE,2,0.00834788699580154,6,FALSE
"7",2.22353523963,0.63722890405,0.4640252937,3.7426876115,0.82227546604,0.212175378,1,0.745775394329799,NA,NA,0.090836135887448,NA,NA,0.090836135887448,0.00263738831635308,0,23753.5493077699,0.00104072147,20825168.3276808,1e-04,0,0.0770630836486816,21.6967570781708,"2_146_3",2,146,3,1308,FALSE,TRUE,2,0.00441701224656736,5,FALSE
"8",2.11795229951,0.62032280311,0.45273038435,3.97729983592,0.75669787405,0.09217409055,1,0.74785899978556,NA,NA,0.0904631270101239,NA,NA,0.0904631270101239,0.00178668912723195,0,19297.3542378374,0.0008267188428,20825168.3276808,1e-04,0,0.103027820587158,22.4018540382385,"2_150_6",2,150,6,1347,FALSE,TRUE,1,0.00302519776925037,5,TRUE
"9",2.0630438751,0.69890912371,0.45148754015,3.77803086707,0.91146021526,0.2972322082,1,0.739896466106897,NA,NA,0.091880423124587,NA,NA,0.091880423124587,0.00226517316558451,0,34182.1837395582,0.001541542267,20825168.3276808,1e-04,0,0.091541051864624,24.566967010498,"2_164_1",2,164,1,1468,FALSE,TRUE,2,0.0082525892617507,5,FALSE
"10",2.2537070891,0.63223247224,0.46964511185,2.78617376965,0.95543910145,0.1247986784,1,0.748274416815224,NA,NA,0.0903885746465081,NA,NA,0.0903885746465081,0.0195290915518433,0,18229.4889111641,0.0007754360821,20825168.3276808,1e-04,0,0.0821409225463867,24.559308052063,"2_164_2",2,164,2,1469,FALSE,TRUE,3,0.00516059772588456,5,FALSE
"11",2.05983661636,0.40422988702,0.4161745083,4.15421580739,0.71782537366,0.34018733595,1,0.749176520363986,NA,NA,0.0902264674874514,NA,NA,0.0902264674874514,0.0104397016827515,0,15696.3642621007,0.0006537862617,20825168.3276808,1e-04,0,0.102568864822388,24.7292900085449,"2_165_6",2,165,6,1482,FALSE,TRUE,2,0.00316258637299155,2,TRUE
"12",2.16828227025,0.76617750115,0.30269889145,4.91957166362,0.78606509041,0.43721169775,1,0.752126211001561,NA,NA,0.0896943656771459,NA,NA,0.0896943656771459,0.636396103067893,0,2230.16173350346,7.09044289e-06,20825168.3276808,1e-04,0,0.127949953079224,26.6300210952759,"2_178_7",2,178,7,1600,TRUE,TRUE,1,0.142857166954181,1,FALSE
"13",2.06855219785,0.56326223233,0.4848150752,3.77803086707,0.91146021526,0.2527523186,1,0.750863579751935,NA,NA,0.089922520204736,NA,NA,0.089922520204736,0.0446211112843549,0,10135.2154821301,0.0003867197553,20825168.3276808,1e-04,0,0.124804019927979,26.9764399528503,"2_180_7",2,180,7,1618,FALSE,TRUE,3,0.0100662010362868,5,FALSE
