DATE,TP_LUMINOUS_SALES_VALUE,TV_LUMINOUS_SPEND,GL_LUMINOUS_SPEND,FB_LUMINOUS_SPEND,DV_LUMINOUS_SPEND,TV_LUMINOUS_TRP,GL_LUMINOUS_IMPRESSIONS,FB_LUMINOUS_IMPRESSIONS,DV_LUMINOUS_IMPRESSIONS,TP_LUMINOUS_AVG_PRICE,TP_COLGATE_NOAD_AVG_PRICE,TP_COMPETITORS_AVG_PRICE,TP_COMPETITORS_SALES_VALUE
2018-01-22,6355854.943044484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.4836667533847,101.69308393717964,161.31335358014715,16181181.03304226
2018-01-29,7554470.961783081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.83177629844806,108.3202015403083,162.25524185949152,19591347.083592672
2018-02-05,7084173.901408911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279.9958094264805,118.48996200427418,163.2966977273943,19512649.053350907
2018-02-12,7688107.84041509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.0689750017127,118.7346418724262,162.59380012194487,20100983.807285085
2018-02-19,7159414.868587628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.83358110018736,115.92584221244223,153.3601025219765,19135200.07098164
2018-02-26,8976596.027903259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.7537629318765,117.89432288776588,158.1636919344845,22300764.103344526
2018-03-05,7365398.940272629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.8788744923491,118.75413081370912,156.31274490889817,19172696.135547828
2018-03-12,7625106.056079268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.8433901022272,115.43574964215664,154.5410937961739,19817731.99007148
2018-03-19,7341205.940339714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.9973259506749,116.39795081148732,159.7004944574423,18780299.03354112
2018-03-26,8597190.973564982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.8290242701741,116.98999521598142,158.41573385791787,20871748.075284995
2018-04-02,7924467.921727337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254.40521011004796,122.95648391941867,164.07219246153142,20190887.89805025
2018-04-09,8110651.905995328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254.1249471635416,117.97180187012168,167.20646171443278,19272383.85974057
2018-04-16,7434050.912897103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.34658135207377,115.49048053486192,181.0602184331132,17238200.053499896
2018-04-23,7499652.044270188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.3457752041832,109.6111675300531,180.39151206343792,17328048.05447068
2018-04-30,9644510.99614799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.00854720364285,110.40387477322264,178.62978521000073,20816085.99590126
2018-05-07,8209140.006089583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.4573356535468,106.31239229266896,169.89947972556334,17966700.104849413
2018-05-14,8770148.052991368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.0219285343701,111.3343688632404,168.01709006911796,21094545.91025226
2018-05-21,7449210.085282102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.91344244943315,115.4168840541312,185.62832109742075,18174312.06929963
2018-05-28,9289694.028071592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.25911235840064,115.85186518139184,173.3414020340733,22566796.953513287
2018-06-04,12021895.95817402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0574795204876,112.3333893392094,161.40382035581337,28718581.89879637
2018-06-11,9937743.164160756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.15959688592037,111.7583394679241,154.73430797522468,25264244.098955765
2018-06-18,7958294.945123489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.4440348958786,117.17683541750364,149.0364703911398,21699858.99264342
2018-06-25,8080218.063235283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.0330695261545,110.46309419360443,145.83820531233286,22750176.815432496
2018-07-02,7799750.967621803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.1690083636369,110.29497827237266,145.30220232506846,21247541.023714468
2018-07-09,8218067.958533764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.12306319216464,112.69107608247288,151.71824324333488,20584675.91363739
2018-07-16,7666451.998306322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.5486986945656,110.03770457209863,136.85410418101688,20339530.938654207
2018-07-23,7816903.883113526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.88504001720875,109.96625985711576,157.39182390654193,19263500.07675495
2018-07-30,8999770.14696598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.5518684128489,108.46685110860724,163.27551462230053,21426808.825323127
2018-08-06,7087998.001627158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.9705184725875,106.19302039616764,155.58932691865562,17584238.905210514
2018-08-13,8752583.05338025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.77001361047215,105.44137557738512,166.10061518635447,20556778.145805
2018-08-20,6667392.898228834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.4481782576139,98.91602750529138,179.35357596757007,16772967.010647755
2018-08-27,8299368.019992486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.58668372933687,98.75522838351314,184.02174866140336,18961785.16206518
2018-09-03,7343325.862914324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.51132447865643,97.24534710909282,193.20881649688332,16591613.979145302
2018-09-10,7329641.008675098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.5855610426546,92.99854811430546,191.11928790984973,15792760.06884547
2018-09-17,7032677.981510758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.90030145303504,98.89125534867956,200.7794080475392,15478686.93464296
2018-09-24,7604696.129753953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.1079900290763,98.5220120623019,187.51048782871456,17184961.051775143
2018-10-01,6971876.904530334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261.37350916588923,104.36339826094736,174.63669470424065,18216178.8993876
2018-10-08,6788159.961283207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.63598340573026,102.29696175077972,178.1697116419125,16843630.128493533
2018-10-15,7144603.0414402485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.5320997939422,105.18899032515571,176.66117705684502,17130480.98445544
2018-10-22,6649733.994334936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.64270824785035,100.78538836444302,181.5990676956484,15030046.933897188
2018-10-29,8655378.105714917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.3722165450757,99.13370507104906,162.49879188999375,20546347.083115835
2018-11-05,7154697.065576911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.49270300077964,102.96949574475572,180.62590149919967,17525228.046261705
2018-11-12,7267753.9901435375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.67378766484708,100.2432297008483,190.11396756737787,16897899.806630332
2018-11-19,7070568.007037044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254.47428057707685,108.36352705550767,192.3369474995229,16667920.04579294
2018-11-26,7937874.011337757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.0873040194301,112.7486650544709,185.3498638530899,19468779.08384474
2018-12-03,7830385.051935911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.09148910883303,115.61923107358422,173.19326292016677,19570319.24021151
2018-12-10,7895135.948807001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.6232412451025,114.78383586631584,174.0622038940433,19452669.987474337
2018-12-17,8035291.005760431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.43436745461403,114.9464032016566,179.6193635045637,19646227.01833991
2018-12-24,6946302.941262722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.02250245295724,111.16534560130358,180.5209056949853,17706392.96390675
2018-12-31,7484734.894752502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.8110766567335,112.67600913725958,181.63858762271565,18900403.03731698
2019-01-07,7486760.914623737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.14501467575585,113.14698116111649,159.28348967059196,19473203.049334586
2019-01-14,7482801.98943615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.90416816117576,114.540837407512,171.59857122366952,19505437.875159085
2019-01-21,7467441.122204065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.59715724561656,114.1632539710262,187.43230352523767,17849928.02934663
2019-01-28,8176878.999186563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.74532418840852,112.32411724886605,184.94980346041743,19185028.0373944
2019-02-04,7892871.128365397,1939999.0,0.0,0.0,0.0,202.7,0.0,0.0,0.0,236.22863843382487,112.78805063795996,187.05887791797065,18824670.126425102
2019-02-11,7777192.040938884,1542070.0,0.0,0.0,0.0,169.75,0.0,0.0,0.0,232.46030193762448,113.48162968509872,188.80054410571125,18100685.94938749
2019-02-18,6960726.069945842,1757338.0,0.0,0.0,0.0,175.53,0.0,0.0,0.0,229.78001895230412,109.33160331348988,193.2794557275064,17083197.92653341
2019-02-25,8324231.970948982,949281.0,0.0,0.0,0.0,129.14,0.0,0.0,0.0,238.0528452036625,110.89995794571472,186.69870340120127,20659144.944055937
2019-03-04,7253352.018654346,894886.0,0.0,0.0,0.0,143.73,0.0,0.0,0.0,256.3112476125005,113.23698201030273,173.9192107055409,19445732.866587583
2019-03-11,7381237.005233765,749801.0,0.0,0.0,0.0,113.88,0.0,0.0,0.0,252.8686886150496,115.554068964835,174.92682873831984,19399559.98533545
2019-03-18,7258697.074651718,890044.0,0.0,0.0,0.0,126.33,0.0,0.0,0.0,252.72255025019192,115.43956710836812,180.1746685261061,19024102.92334564
2019-03-25,8110702.041387558,729316.0,0.0,0.0,0.0,108.59,0.0,0.0,0.0,252.22197784802253,112.30881753683832,177.73233587157404,20495382.013694383
2019-04-01,7702561.023175716,997609.0,0.0,0.0,0.0,141.53,0.0,0.0,0.0,254.41144711545053,113.29537956831626,192.2259784631668,19392910.09905085
2019-04-08,7499568.032979965,321526.0,0.0,0.0,0.0,47.71,0.0,0.0,0.0,238.84735267866236,116.35709149058724,194.75279057866143,17941406.164461516
2019-04-15,7585384.118974209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.44971020474875,116.8110467662914,192.5107379078279,18357824.046223424
2019-04-22,7060867.065489292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.0168685375634,115.7413622894194,198.1759481402918,17577413.996377494
2019-04-29,8233131.104132044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.0631550424738,115.7337546154218,193.1225716627472,21317835.09055292
2019-05-06,6417274.945557117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277.5277837259753,114.90005269587893,197.45398720801649,17255108.97026118
2019-05-13,9659471.774220468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.513568592287,109.25174748897942,199.12905774817548,20559278.90760079
